#OTU ID	A_01	A_02	A_03	A_04	A_05	A_06	A_07	A_08	A_09	A_10	B_01	B_02	B_03	B_04	B_05	B_06	C_01	C_02	C_03	C_04	C_05	C_06	C_07	C_08	C_09	C_10	C_11	D_01	D_02	D_03
26b2011b8b80af963eeca86a54094b67	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	221	0	0
d1e4367c884c6d51b60160ea661d40cc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	208	0	0
dfd5d7c6a8381cc1d65b52703648a227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	0	0	0	0	0	0	199	12	4
382d260b6e3d122de6f236492479c7b5	29	2	0	0	0	0	0	10	0	68	0	0	7	28	0	0	25	62	0	7	0	0	5	39	0	0	0	181	0	5
409585c432bc6ff41652efed9698b355	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	24	0	0	0	0	0	0	0	160	0	0
302e6bd402265ef10ac492fe8fdcf242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	146	0	0
63904fe5012484bf060c874c8a472af4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	119	0	0
933ce07108a93cacdea802d022043dd7	0	0	17	45	0	0	0	0	0	7	13	21	0	0	8	0	2	546	0	0	0	0	0	0	10	0	0	105	0	5
0952ac2a1038e8d8bd00de65e29b9ee4	5	9	0	7	0	2	0	0	0	7	0	0	9	23	0	0	3	42	6	7	0	9	13	23	0	0	0	100	2	8
545f4b49f401a5e7f0c17435526d9957	0	0	0	0	7	0	0	0	0	0	0	10	0	0	0	0	4	23	0	14	0	0	0	0	0	0	0	99	0	0
dd0d57fd329930a7f7bf49953c82ffb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	11	0	0	0	0	0	0	0	92	0	0
a4297c34526310285e4aa5a5dead2971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
be5615781e527dad765fb198cb605dd8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	1	0
85bd029a38b121a95f975ac2da41a6a3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	78	0	0
3924fe5766215f55c093903baf3619e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	67	14	0
de73dd849cc9d99167a33be549cf7e35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	66	0	0
4941213acce2104b67ca74aefb077e83	0	0	8	10	0	0	0	0	0	11	0	18	0	0	2	0	4	469	0	0	0	7	0	0	25	0	0	65	0	0
3beb26e9478b5b20446b6767fc70cacc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	62	0	0
2d9c7ad0d8791ea9fbde934e5a4f54c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0
a70a83e4eac66301e0ea4028767ee01d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
468952452edc8d8ec9f37e3069735443	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	8	8	8	0	5	0	0	0	0	8	0	50	9	0
e8af86fff4d6b01f117e0bc5196efb1f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
f3d8a43144a694ca8cbc6e0ab9a33d76	0	0	0	0	0	17	30	0	0	17	0	0	0	24	0	0	17	0	6	14	0	0	1	55	0	0	0	47	2	0
db5886a2be2e869ca81b04b61035ddfa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
7fc912e675cf333d4fc4fea8450b272f	0	0	0	0	0	13	4	0	0	9	0	0	0	13	0	0	10	0	9	4	0	0	0	36	2	0	0	40	7	0
cf8df4d117665ba169746ea90cd43209	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	6	10	0	0	0	1	5	9	0	0	0	39	0	0
5e8fd284cd6ba430981b731f9e69d972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	21	0	39	0	0
c40dbc1389bdbca4510548b2dbe040e8	31	0	52	17	0	12	5	3	12	0	0	23	0	5	0	0	0	86	0	139	0	3	0	2	17	0	0	39	67	0
846b2fe3bba62766883be8feb5a5d7d0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	38	0	0
3f2354362214f8912f363971dca8066e	0	0	2	0	0	14	0	0	0	0	0	0	2	6	0	0	0	3	5	21	0	0	0	0	0	0	11	36	0	0
d97d00ea4b340fa0ee851e9d693953eb	27	5	27	9	0	10	0	0	6	0	0	38	0	34	2	0	0	59	0	88	0	12	0	4	0	0	0	34	59	11
2230a70286551acf0f6247135f5bfa27	0	1	4	0	0	0	0	0	0	0	0	0	12	16	0	0	0	5	0	37	0	0	0	0	0	0	10	32	0	0
6437cb898c616df7c4b3bd8b023da39a	0	0	0	0	0	16	15	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	13	0	0	0	29	4	0
0332aa36a0d370f61cac7ab4082f8ad5	0	4	17	14	16	21	25	0	0	0	0	6	0	22	4	5	13	21	6	12	5	0	14	1	0	0	0	27	0	9
ddd54ce3da5b19ef52d352392eb846f0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0
99e8aeb4b9b7599b2b0457f3e459f442	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	94	0
ae62872522a1ab73492d784c390b1d9f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
5f481acfb36603f8d1141de2b5cde6a2	0	0	0	0	0	0	52	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	29	3	0	0	0	24	4	2
0c61e55b52509c1acfd5b01e9615dbd2	0	0	1	7	0	0	0	0	0	0	0	13	0	0	0	0	0	152	0	0	0	0	0	0	3	0	0	23	0	0
e7adf67b11d7905055f6428513dea0ef	0	6	0	0	0	0	0	0	0	0	69	69	15	34	61	56	38	22	31	57	14	13	73	16	13	88	61	19	9	14
e6a76a03766f04df639a2b83e3aaff42	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	18	0	0
586bfb584fb7f05345bb512a28bb42c5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
a1e5a3be88ef910b904b1acd5bd77ead	0	18	0	19	0	44	14	0	0	0	0	8	0	35	0	0	25	8	0	16	2	0	16	1	0	0	32	18	0	10
499370aac0f312b8756f9d01fc96b140	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	10	0	0	0	0	0	0	0	16	0	0
cc0dd89ee9ea3313ed0848c2dd9f3655	0	0	1	9	0	0	0	0	0	3	0	10	0	0	0	0	4	245	0	0	0	0	0	0	5	0	0	16	0	3
fdcb636658e5bdad6c7fb6035bbe79e8	0	0	0	0	0	0	4	0	0	0	0	0	0	10	0	0	4	0	5	4	0	0	4	6	0	0	0	16	0	0
37e83c80a712ca7193eb1c105381f4f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
913410f375399432e8cb87706d9c0bfa	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	7	0	0	0	0	15	0	0
2c5829f4ff1b205a6900c47377e2cd7d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
b110a8f920373ad030240d1e0d2421b8	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	5	4	0	0	0	0	0	0	0	1	0	12	0	0
11a1672529a4c918b8bdce4c6ec77b5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
6f381bf034069b013a5c4c524a9ec7cf	0	0	0	55	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	132	0
5000eb0beb39a26d0fde768821f2a096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
60af7b736a4985d8844d96e1ec46ee74	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	16	0	0	0	0	0	0	5	11	0	0
00d52a0d961efb2bfcab18f258ca7e06	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	25	0
ba2c73277717894dd5bd4ed973b173e2	0	3	0	15	13	41	0	0	0	0	0	6	0	8	0	0	0	11	2	4	6	0	0	0	0	0	0	9	0	2
7a5a3d03db75adbc31fdc216c5957f69	15	1	3	6	4	6	0	0	8	0	0	14	0	0	0	0	0	26	0	56	0	0	0	0	0	0	0	8	19	2
a57d46a7fda5e75942ce0ab7cacfe754	0	8	0	0	0	12	20	0	0	0	0	0	39	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
1833db94545c1db2f4eebff2ccce3487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	6	0	0
0b448bade10d5a4f678b15315f2118e7	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	6	0	1	0	7	0	0	0	0	9	0	6	7	0
057fcc84dcd19b574766d64d8408839e	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0
a3a7833d17ed2674127ef0703f6b7c4f	0	0	0	0	0	6	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	5	0	0
